uuid,player,course,time,plays
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,1,17203,27
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,1,4744,17
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,101,-1,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,11,9053,2
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,209,-1,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,209,3656,12
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,1,15998,6
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,11,8171,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,101,29399,3
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,1401,-1,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,1401,25916,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,205,17043,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,205,17250,3
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,205,-1,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,212,-1,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,212,-1,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,212,7753,2
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,29,13648,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,29,30754,2
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,211,14433,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2,10009,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,5,6598,12
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2030,-1,5
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2031,42502,4
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2031,43400,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2032,36600,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2030,-1,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,1402,14397,6
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,1402,14448,16
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,13,-1,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,207,16366,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,219,12919,9
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2000,13800,5
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2001,13715,6
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2002,22446,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2003,20850,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,109,18934,6
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,14,-1,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,10,11008,5
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,10,11951,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,1,16600,4
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,1,1496,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,25,12648,3
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,2,746,68
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,15,14264,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2,11255,26
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,100,32049,5
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,219,13050,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,220,37664,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,30,-1,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,109,-1,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,220,35555,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,112,44502,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,1402,15400,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,212,7846,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,209,3490,9
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,205,17401,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,202,19256,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,5,6697,7
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2032,36300,4
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,5,6603,14
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,101,31304,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,100,32148,3
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,2000,-1,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,2001,13451,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,112,42546,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,109,-1,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,15,13555,3
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,211,14154,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,2,7106,3
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,2,3695,11
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,30,23525,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,1401,25975,1
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,207,16148,2
76307eb4-df62-4305-bb61-ddec06f24911,niedoczekanie111,30,-1,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,2001,16200,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,2002,15344,1
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,2002,12254,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,101,33204,5
